Hora	Eólica	Nuclear	Fuel/gas	Carbón	Ciclo combinado	Hidráulica	Intercambios int	Enlace balear	Solar fotovoltaica	Solar térmica	Térmica renovable	Cogeneración y residuos
2024-05-24 18:20	2287	4047	0	249	2013	1958	-4416	-236	15822	1642	473	1848
2024-05-24 18:25	2284	4047	0	249	2121	2102	-4677	-236	15624	1645	473	1855
2024-05-24 18:30	2337	4049	0	249	2261	2251	-4523	-236	15409	1652	473	1809
2024-05-24 18:35	2381	4047	0	248	2345	2807	-4812	-236	15292	1657	475	1856
2024-05-24 18:40	2390	4046	0	248	2423	2831	-4773	-236	15046	1656	475	1862
2024-05-24 18:45	2389	4044	0	249	2494	2844	-4518	-236	14829	1651	475	1831
2024-05-24 18:50	2353	4049	0	249	2618	2904	-4632	-236	14582	1648	475	1879
2024-05-24 18:55	2354	4047	0	249	2745	2930	-4156	-236	14167	1648	475	1899
2024-05-24 19:00	2265	4045	0	247	2815	2964	-3533	-245	13487	1640	475	1903
2024-05-24 19:05	1998	4043	0	248	3057	3214	-2111	-256	11670	1655	472	1875
2024-05-24 19:10	2008	4053	0	249	3142	3324	-1547	-266	11120	1678	472	1913
2024-05-24 19:15	1996	4047	0	248	3252	3449	-1563	-276	10815	1699	472	1924
2024-05-24 19:20	2309	4047	0	249	3230	3350	-2235	-287	11543	1710	472	1915
2024-05-24 19:25	2457	4051	0	249	3260	3334	-1696	-288	11005	1721	472	1922
2024-05-24 19:30	2466	4048	0	249	3376	3410	-1954	-288	10730	1737	472	1888
2024-05-24 19:35	2549	4046	0	248	3489	3658	-1839	-288	10312	1744	476	1927
2024-05-24 19:40	2556	4047	0	251	3559	4051	-1714	-288	9804	1727	476	1932
2024-05-24 19:45	2534	4050	0	249	3820	4465	-1671	-288	9370	1713	476	1928
2024-05-24 19:50	2537	4045	0	249	4224	4956	-1840	-288	8820	1703	477	1902
2024-05-24 19:55	2532	4047	0	249	4614	5237	-1784	-288	8208	1687	477	1925
2024-05-24 20:00	2486	4047	0	249	4658	5345	-1112	-269	7517	1654	477	1898
